#,State,Address,End,Chunk (hex),Used (hex),Chunk (bytes),Used (bytes),Wasted (bytes),Source,Type,Label,Prev,Next,Size16,Flags,Self,Notes
111,USED,0x141B40760,0x141B4083F,0x000D0,0x000C8,208,200,8,,unknown,,0x141B403D0,0x141B40840,0x000E,0x02011800,0x102A1100,
112,USED,0x141B40840,0x141B45C9F,0x05400,0x05400,21504,21504,0,,unknown,,0x141B40760,0x141B45CA0,0x0546,0x02011000,0x41B40850,
113,USED,0x141B45CA0,0x141B45DBF,0x000C0,0x000B4,192,180,12,,unknown,,0x141B40840,0x141B45DC0,0x0012,0x02011C00,0x41B45CB0,
114,USED,0x141B45DC0,0x141B45E9F,0x00080,0x00078,128,120,8,,unknown,,0x141B45CA0,0x141B45EA0,0x000E,0x02011800,0x41B45DD0,
115,FREE,0x141B45EA0,0x141B45ECF,0x00030,0x00000,48,0,48,,free,,0x141B45DC0,0x141B45ED0,0x0003,0x020000CF,0x00000064,
116,USED,0x141B45ED0,0x141B45EEF,0x00010,0x0000C,16,12,4,,unknown,,0x141B45EA0,0x141B45EF0,0x0002,0x02011400,0x41B53810,
117,USED,0x141B45EF0,0x141B460AF,0x00160,0x00154,352,340,12,,unknown,,0x141B45ED0,0x141B460B0,0x001C,0x02011C00,0x41B45F00,
118,FREE,0x141B460B0,0x141B4612F,0x00080,0x00000,128,0,128,,free,,0x141B45EF0,0x141B46130,0x0008,0x02012A00,0x41B460C0,
119,USED,0x141B46130,0x141B461BF,0x00030,0x00028,48,40,8,,unknown,,0x141B460B0,0x141B461C0,0x0009,0x02011800,0x41B46140,
120,USED,0x141B461C0,0x141B4622F,0x00010,0x0000C,16,12,4,,unknown,,0x141B46130,0x141B46230,0x0007,0x02011400,0x41B461D0,
121,USED,0x141B46230,0x141B4625F,0x00020,0x00018,32,24,8,,unknown,,0x141B461C0,0x141B46260,0x0003,0x02011800,0x41B36880,
122,USED,0x141B46260,0x141B4681F,0x00560,0x00560,1376,1376,0,,unknown,,0x141B46230,0x141B46820,0x005C,0x02011000,0x41B46270,
123,USED,0x141B46820,0x141B46A2F,0x001B0,0x001B0,432,432,0,,unknown,,0x141B46260,0x141B46A30,0x0021,0x02011000,0x41B46830,
124,USED,0x141B46A30,0x141B46ABF,0x00030,0x00028,48,40,8,,unknown,,0x141B46820,0x141B46AC0,0x0009,0x02011800,0x41B46A40,
125,USED,0x141B46AC0,0x141B46B9F,0x00080,0x00078,128,120,8,,unknown,,0x141B46A30,0x141B46BA0,0x000E,0x02011800,0x41B46AD0,
126,USED,0x141B46BA0,0x141B46C2F,0x00030,0x00028,48,40,8,,unknown,,0x141B46AC0,0x141B46C30,0x0009,0x02011800,0x41B46BB0,
127,USED,0x141B46C30,0x141B46CAF,0x00020,0x00014,32,20,12,,unknown,,0x141B46BA0,0x141B46CB0,0x0008,0x02011C00,0x41B46C40,
128,USED,0x141B46CB0,0x141B46D2F,0x00020,0x00018,32,24,8,,unknown,,0x141B46C30,0x141B46D30,0x0008,0x02011800,0x41B46CC0,
129,USED,0x141B46D30,0x141B46D9F,0x00010,0x00004,16,4,12,,unknown,,0x141B46CB0,0x141B46DA0,0x0007,0x02011C00,0x41B46D40,
130,USED,0x141B46DA0,0x141B46DBF,0x00010,0x00010,16,16,0,,unknown,,0x141B46D30,0x141B46DC0,0x0002,0x02011000,0x82015F60,
131,USED,0x141B46DC0,0x141B46E5F,0x00040,0x00034,64,52,12,,unknown,,0x141B46DA0,0x141B46E60,0x000A,0x02011C00,0x41B46DD0,
132,USED,0x141B46E60,0x141B46EFF,0x00040,0x00034,64,52,12,,unknown,,0x141B46DC0,0x141B46F00,0x000A,0x02011C00,0x41B46E70,
133,USED,0x141B46F00,0x141B46F7F,0x00020,0x00018,32,24,8,,unknown,,0x141B46E60,0x141B46F80,0x0008,0x02011800,0x41B46F10,
134,USED,0x141B46F80,0x141B4701F,0x00040,0x00034,64,52,12,,unknown,,0x141B46F00,0x141B47020,0x000A,0x02011C00,0x41B46F90,
135,USED,0x141B47020,0x141B470BF,0x00040,0x00034,64,52,12,,unknown,,0x141B46F80,0x141B470C0,0x000A,0x02011C00,0x41B47030,
136,USED,0x141B470C0,0x141B4712F,0x00010,0x00006,16,6,10,,unknown,,0x141B47020,0x141B47130,0x0007,0x02011A00,0x41B470D0,
137,USED,0x141B47130,0x141B4720F,0x000D0,0x000CC,208,204,4,,unknown,,0x141B470C0,0x141B47210,0x000E,0x02011400,0x00100007,
138,USED,0x141B47210,0x141B4762F,0x003C0,0x003C0,960,960,0,,unknown,,0x141B47130,0x141B47630,0x0042,0x02011000,0x41B47220,
139,USED,0x141B47630,0x141B4764F,0x00010,0x0000C,16,12,4,,unknown,,0x141B47210,0x141B47650,0x0002,0x02011400,0x41B717A0,
140,USED,0x141B47650,0x141B47D1F,0x00670,0x00670,1648,1648,0,,unknown,,0x141B47630,0x141B47D20,0x006D,0x02011000,0x41B47660,
141,USED,0x141B47D20,0x141B47D8F,0x00010,0x0000C,16,12,4,,unknown,,0x141B47650,0x141B47D90,0x0007,0x02011400,0x41B47D30,
142,USED,0x141B47D90,0x141B47E1F,0x00080,0x00080,128,128,0,,unknown,,0x141B47D20,0x141B47E20,0x0009,0x02011000,0x400C6CA0,
143,USED,0x141B47E20,0x141B47E8F,0x00060,0x00060,96,96,0,,unknown,,0x141B47D90,0x141B47E90,0x0007,0x02011000,0x41B3F250,
144,USED,0x141B47E90,0x141B47F9F,0x00100,0x00100,256,256,0,,unknown,,0x141B47E20,0x141B47FA0,0x0011,0x02011000,0x41B3B470,
145,USED,0x141B47FA0,0x141B4806F,0x000C0,0x000C0,192,192,0,,unknown,,0x141B47E90,0x141B48070,0x000D,0x02011000,0x41B3B020,
146,USED,0x141B48070,0x141B4819F,0x00120,0x00114,288,276,12,,unknown,,0x141B47FA0,0x141B481A0,0x0013,0x02011C00,0x00100007,
147,USED,0x141B481A0,0x141B4838F,0x00190,0x00190,400,400,0,,unknown,,0x141B48070,0x141B48390,0x001F,0x02011000,0x41B481B0,
148,USED,0x141B48390,0x141B483AF,0x00010,0x00010,16,16,0,,unknown,,0x141B481A0,0x141B483B0,0x0002,0x02011000,0x82015F60,
149,USED,0x141B483B0,0x141B48BBF,0x00800,0x00800,2048,2048,0,,unknown,,0x141B48390,0x141B48BC0,0x0081,0x02011000,0x41B373D0,
150,USED,0x141B48BC0,0x141B48DCF,0x001B0,0x001B0,432,432,0,,unknown,,0x141B483B0,0x141B48DD0,0x0021,0x02011000,0x41B48BD0,
151,USED,0x141B48DD0,0x141B48E6F,0x00040,0x00034,64,52,12,,unknown,,0x141B48BC0,0x141B48E70,0x000A,0x02011C00,0x41B48DE0,
152,USED,0x141B48E70,0x141B48F0F,0x00040,0x00034,64,52,12,,unknown,,0x141B48DD0,0x141B48F10,0x000A,0x02011C00,0x41B48E80,
153,USED,0x141B48F10,0x141B48FAF,0x00040,0x00034,64,52,12,,unknown,,0x141B48E70,0x141B48FB0,0x000A,0x02011C00,0x41B48F20,
154,USED,0x141B48FB0,0x141B4904F,0x00040,0x00034,64,52,12,,unknown,,0x141B48F10,0x141B49050,0x000A,0x02011C00,0x41B48FC0,
155,USED,0x141B49050,0x141B490EF,0x00040,0x00034,64,52,12,,unknown,,0x141B48FB0,0x141B490F0,0x000A,0x02011C00,0x41B49060,
156,USED,0x141B490F0,0x141B4916F,0x00020,0x00018,32,24,8,,unknown,,0x141B49050,0x141B49170,0x0008,0x02011800,0x41B49100,
157,USED,0x141B49170,0x141B491EF,0x00020,0x00018,32,24,8,,unknown,,0x141B490F0,0x141B491F0,0x0008,0x02011800,0x41B49180,
158,USED,0x141B491F0,0x141B4926F,0x00020,0x00018,32,24,8,,unknown,,0x141B49170,0x141B49270,0x0008,0x02011800,0x41B49200,
159,USED,0x141B49270,0x141B49FBF,0x00CF0,0x00CE8,3312,3304,8,,unknown,,0x141B491F0,0x141B49FC0,0x00D5,0x02011800,0x41B49280,
160,USED,0x141B49FC0,0x141B4A5CF,0x00600,0x00600,1536,1536,0,,unknown,,0x141B49270,0x141B4A5D0,0x0061,0x02003C41,0x5B19BE0A,
161,USED,0x141B4A5D0,0x141B4A64F,0x00020,0x00014,32,20,12,,unknown,,0x141B49FC0,0x141B4A650,0x0008,0x02011C00,0x41B4A5E0,
162,USED,0x141B4A650,0x141B4A71F,0x00070,0x00064,112,100,12,,unknown,,0x141B4A5D0,0x141B4A720,0x000D,0x02011C00,0x41B4A660,
163,USED,0x141B4A720,0x141B4A78F,0x00010,0x0000C,16,12,4,,unknown,,0x141B4A650,0x141B4A790,0x0007,0x02011400,0x41B4A730,
164,USED,0x141B4A790,0x141B4A80F,0x00020,0x00014,32,20,12,,unknown,,0x141B4A720,0x141B4A810,0x0008,0x02011C00,0x41B4A7A0,
165,USED,0x141B4A810,0x141B4A8BF,0x00050,0x00050,80,80,0,,unknown,,0x141B4A790,0x141B4A8C0,0x000B,0x02011000,0x41B4A820,
166,FREE,0x141B4A8C0,0x141B4A90F,0x00050,0x00000,80,0,80,,free,,0x141B4A810,0x141B4A910,0x0005,0x02000604,0xC0000000,
167,USED,0x141B4A910,0x141B4AB1F,0x001B0,0x001B0,432,432,0,,unknown,,0x141B4A8C0,0x141B4AB20,0x0021,0x02011000,0x41B4A920,
